1	2004	Mazda RX-8	New York	NY	8000	9219	Black	Dealer	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No	Yes	There are no signs that this vehicle has ever been smoked in. There is absolutely no evidence of prior damage or repairs to this vehicle. The exterior looks to be in mint condition. There is not a door ding on this vehicle. 	NULL	Mazda	1	NULL
2	2005	Mercedes-Benz E320 SEDAN	DALLAS	TX	49900	45	Pewter	Dealer	6	NO	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	For Information on OPTIONS and FINANCING or for other Questions Please Contact Matt Polster at 214-525-5422 or Kal Farris at 214-443-5248 . 	NULL	Mercedes	2	NULL
3	2003	Jeep Wrangler X	DALLAS	TX	17988	10518	Red	Dealer	6	Yes	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	No	No	No	Yes	No	WRANGLER X * 4 Photos! * Has Warranty! * Vehicle includes: AM/FM Stereo Radio Compact Disc Player Trip Odometer Tachometer Air Conditioning Tilt Steering Wheel Interval Wipers Rear Defroster Rear Window Wiper Driver Side Air Bag Passenger Side Air Bag and Front Bucket Seats. 	NULL	Jeep	3	NULL
4	2001	Mercedes-Benz E430 SEDAN	DALLAS	TX	27999	23792	Black	Dealer	8	NO	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	** One Owner Lease Return**No haggle transaction    1-888-895-0818                                   www.budgetcarsalesdallas.com 	NULL	Mercedes	4	NULL
13	2002	Jaguar Vanden Plas SEDAN	DALLAS	TX	24950	52834	Sedan	Dealer	8	NO	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	2002 JAGUAR XJ8 LWB VANDEN PLAS QUARTZ on sale for $24950!  Please call texascarsdirect.com Ltd. at 800-YES-JAGS with questions or an offer for this vehicle. Our showroom is located at 2718 Forest Lane Dallas$TX  75234. 	NULL	Jaguar	13	NULL
12	2001	Mercedes-Benz C320 SEDAN	ADDISON	TX	24900	32158	Gold	Dealer	6	NO	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No	Yes	No	No	Yes	No	No	No	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	One owner lease return.  Great quality bose sound system with a 6 disc cd changer.  Audio control buttons on steering wheel.  Wood grain trim.  Rear auto sunshade.  Memory seats.  Dual climate control.  Driver passenger rear side and side curtain airbags which is great for saftey.  Very clean come and take a look. 	NULL	Mercedes	12	NULL
14	2003	Mercedes-Benz CLK500 COUPE	BEDFORD	TX	45900	23784	Black	Dealer	8	Yes	No	No	No	Yes	Yes	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	For special internet pricing please contact Parrish Michener at 817-359-4744 by email at pmichener@parkplacetexas.com or call toll free 888-318-9208 and ask for the pre-owned internet sales department.  An amazing car.......... so much equipment......... Comand system (navigation CD)........ 	NULL	Mercedes	14	NULL
5	1991	Chrysler Imperial SEDAN	DALLAS	TX	5877	43563	Black	Dealer	6	Yes	Yes	No	Yes	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes	Yes	No	No	Yes	SEE CRAIG RANDOLPH INTERNET SALES MANAGER FOR ALL INTERNET SALES CALL DIRECT 214-319-1227 THIS HAS TO BE THE NICEST IMPERIAL IN THE STATE OF TEXAS!!!! Air Conditioning Power Door Locks Cruise Control Cassette Leather AM/FM Stereo Power Steering Power Windows Premium Sound Dual Power Seats Imitation Conv 90-amp alternator 600-amp maintenance-free battery w/integral test indicator Front suspension w/gas-charged position-sensitive struts antisway bar Direct ignition system/voltage regulator 16 gallon fuel tank w/tethered fuel cap Pwr-assisted rack & pinion precision-feel steering 4-wheel anti-lock pwr-assisted diagonally split disc brakes Wire wheel covers w/imperial script & locks Front/rear bright grille & grille extensions Body-color vinyl padded landau roof w/bright band molding Crystalline pentastar w/gold eagle molded hood ornament Lower body panels protective urethane coating Counter-balanced hood w/inside release Painted body-side/decklid stripes Body-color body-side moldings Tinted glass (all windows) Concealed halogen headlamps w/auto delay Bright dual pwr outside heated 2-position memory mirrors Lavalier door pull handles 5-mph protection bumpers w/bright bumper bar/rear bumper guards Fender mounted cornering lights Insulated hood pad Wide brushed chrome lower body/door moldings High-mounted center stoplight Dlx 2-spd concealed windshield wiper/washer w/intermittent wipe & aero blades Elect spd control Digital clock Heater/defroster Automatic temp-control air conditioning Pwr decklid pulldown 6-way adj tilt steering column Gray trunk carpeting 2 rear coat hooks Time delay ignition switch light Day/night rearview mirror Dual illum visor vanity mirrors Elect rear window defroster Front door window demisters Message center-inc: graphic display for low washer fluid door/trunk ajar Key-in-ignition/headlights-on/turn signal-on/seat belt warning chimes Pwr door locks w/spd-sensitive actuation Illum entry Pwr an> 	NULL	Chrysler	5	NULL
27	2003	Saturn Vue	HURST	TX	15991	23637	Red	Dealer	4	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	No	No	No	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	No	No	No	Yes	No	No	No	No	Power Windows Air Conditioning Power Brakes Cruise Control AM-FM Stereo w/CD Adjustable 3-Pt Frt Seat Belts Security System Child-Proof Rr.Dr.Locks Dual Airbags (SIR) Front Wheel Drive High-Mount Brake Light Emissions - Massachusetts 3-Point Rear Seat Belts Rear Window Defroster Side Guard Door Beams Air ConditioningSecurity FeaturesAutomatic TransmissionPower BrakesPower SteeringPower WindowsTilt Steering Wheel 	NULL	Saturn	27	NULL
19	1998	Dodge Ram Truck QUAD CAB	DALLAS	TX	18888	23209	Silver	Dealer	8	Yes	Yes	No	Yes	No	No	No	No	Yes	No	No	No	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	Yes	No	No	Bed Liner SLT Power Seat Alloy Wheels Power Steering Power Windows Tilt Wheel Air Conditioning Power Door Locks Cruise Control AM/FM Stereo Single Compact Disc Dual Front Air Bags Steel Tube Step Bars 6''3 cargo box 6650# GVWR Rear-wheel anti-lock brakes 26 gallon fuel tank 136-amp alternator Pwr 4-wheel disc brakes 600-amp maintenance-free battery Front stabilizer bar Pwr rack & pinion steering 3.55 axle ratio HD front/rear shock absorbers Black 6 X 9 exterior mirrors Bright rear bumper w/step pads Variable speed intermittent windshield wipers Bright front bumper Front air dam Bright/black grille Underhood/cargo lamps Removable tailgate Passenger assist handle Air conditioning Rear underseat storage compartment HD vinyl 40/20/40 split bench seat Cigar lighter/pwr outlet Instrument cluster-inc: 120 MPH primary speedometer tachometer Dual note horn Front shoulder belt height adjusters 	NULL	Dodge	19	NULL
